     1.929      1.000      1.000      3.167      4.308      5.333      1.667      5.667  939      4.000      9.000      7.000      9.000      5.000      5.000      0.000      0.000      0.000      1.000      4.000
     2.429      1.333      1.667      3.167      2.929      3.667      1.667      3.167  673      3.000      8.000      7.000      9.000      4.000      4.000      1.000      0.000      0.000      0.000      1.000
     3.286      3.333      2.333      4.000      3.923      4.333      3.000      4.500  326      4.000      9.000      7.000     10.000      4.000      4.000      0.002      0.982      0.000      0.015      2.000
     3.429      3.000      3.000      4.333      3.429      3.333      3.333      4.167  965      2.000      8.000      7.000      9.000      3.000      3.000      0.182      0.817      0.000      0.001      2.000
     2.929      3.333      1.667      3.667      3.429      5.000      2.000      3.667 1741      1.000      0.000      7.000     10.000      5.000      5.000      0.937      0.055      0.000      0.008      1.000
     2.857      1.333      1.000      4.333      4.571      5.333      3.667      5.000  219      1.000      0.000      7.000      9.000      5.000      4.000      0.000      0.002      0.000      0.998      4.000
     3.714      4.667      2.667      3.500      4.923      5.000      3.333      5.800 1278      1.000      0.000      7.000     10.000      4.000      3.000      0.000      0.997      0.002      0.001      2.000
     3.000      2.000      2.667      3.500      4.143      5.000      3.333      4.500  895      1.000      0.000      7.000      9.000      4.000      4.000      0.001      0.057      0.000      0.942      4.000
     2.857      2.000      2.000      4.000      2.786      2.000      2.000      4.000 1245      1.000      0.000      7.000      9.000      2.000      5.000      1.000      0.000      0.000      0.000      1.000
     5.000      6.000      4.667      4.833      5.000      5.667      5.000      4.833 1847      2.000      0.000      7.000      9.000      2.000      2.000      0.000      0.000      1.000      0.000      3.000
     4.857      5.000      2.667      5.667      3.786      3.000      3.667      4.333 1255      1.000      0.000      7.000      9.000      3.000      3.000      0.000      0.998      0.002      0.000      2.000
     4.643      3.667      4.667      5.000      4.857      4.333      5.000      5.000  645      6.000      5.000      7.000      9.000      4.000      4.000      0.000      0.029      0.971      0.000      3.000
     1.769      2.000      1.000      2.167      3.500      5.000      3.000      3.333 1188      7.000      9.000      7.000      8.000      5.000      5.000      0.931      0.000      0.000      0.069      1.000
     2.583      2.667      2.000      3.000      5.714      6.000      5.667      6.000  757      7.000      9.000      7.000      9.000      4.000      4.000      0.000      0.000      0.000      1.000      4.000
     1.429      1.333      1.333      1.667      3.077      4.000      1.333      3.833  521      7.000      9.000      7.000      9.000      5.000      5.000      1.000      0.000      0.000      0.000      1.000
     3.538      3.333      1.500      4.833      3.769      4.333      1.500      4.833  930      3.000      8.000      7.000      8.000      4.000      4.000      0.000      0.999      0.000      0.000      2.000
     3.214      2.667      2.667      4.000      4.357      4.000      4.000      5.000 1128      1.000      2.000      7.000      9.000      5.000      5.000      0.000      0.761      0.000      0.239      2.000
     2.571      2.000      1.667      3.833      2.500      1.667      1.667      3.667 1238      2.000      2.000      7.000      8.000      3.000      3.000      1.000      0.000      0.000      0.000      1.000
