1166	1	27	1	0	5	1	2	3	4	6	1	5	55	3	78370	1	1	4	4	4	2	2	3	3	3	4	4	4	4	5	4	4	4	3	4	3	3	2	3	3	3	4	4	5	4	4	4	3	4	3	4	2	2	3	3	4	4	5	4	3	3	1	2	2	1	2	4	2	2	3	3	3	4	4	3	2	3	3	3	2	2	6	2	2	3	3	2	2	4	3	3	4	3	6	5	3	5	6	6	6	5	5	5	5	5	5	4	4	5	4	4	4	4	5	5	5	5	5	6	5	5	3	5	3	4	5	5	3	4	4	3	3	4	2	4	5	4	1	3	5	5	3	4	4	4	5	2	4	5	5	2	4	5	4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	30	30	0	0	0	0	5	4	4	2	2	2	2	2	4	3	4	1	3	5	5	6	7	7	3	4	7	6	8	7	7	9	6	8	8	4	8	8	8	9	6	1	2	3	7	10	0	0	0	0	5
1342	2	27	2	1	2	1	5	3	2	2	1	5	54	12	88000	3	5	4	4	4	4	4	2	2	2	4	6	4	5	5	5	3	3	3	3	3	3	3	3	3	3	6	3	3	3	6	6	6	6	3	3	3	6	6	6	6	6	6	6	6	4	1	4	2	2	1	6	3	2	5	5	5	5	5	5	4	4	4	4	2	2	2	3	6	6	6	5	4	3	3	2	1	3	6	5	3	3	3	3	3	3	3	3	3	3	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	1	4	2	5	1	5	5	1	5	4	5	4	5	4	5	1	4	4	1	2	5	2	5	2	2	5	3	2	2	2	2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	30	30	0	0	0	0	1	5	5	4	4	1	2	2	2	2	2	8	8	8	9	8	9	8	8	8	8	8	8	8	9	8	8	9	8	8	9	8	9	9	8	2	999	999	7	10	0	0	0	0	1
1135	1	26	1	0	1	6	1	1	3	1	1	1	10	12	77176	1	1	6	6	6	6	999	6	6	6	6	6	6	6	6	6	6	6	6	6	999	5	6	6	6	6	6	6	6	6	5	6	6	6	999	5	6	6	6	6	6	6	6	6	5	4	4	6	1	2	3	6	1	2	6	6	6	6	6	6	3	2	6	2	6	6	6	6	6	6	6	5	5	3	6	6	5	4	5	4	4	6	5	6	4	5	6	5	4	5	3	2	5	6	6	5	5	4	6	5	5	4	4	5	5	3	2	5	2	2	5	5	4	1	5	2	4	3	3	3	4	2	3	3	4	2	5	5	3	5	5	5	5	5	5	5	5	1	5	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	30	30	0	0	0	0	1	1	1	1	1	3	3	3	3	3	3	9	7	7	8	7	8	6	8	8	9	8	8	8	7	9	8	8	8	9	9	9	9	9	8	1	1	1	7	10	0	0	0	0	1
1173	1	41	2	1	2	1	1	3	2	5	2	5	55	3	62300	3	4	4	4	4	999	1	1	2	1	999	4	4	5	5	999	3	3	3	999	1	1	2	1	999	4	4	5	6	2	4	4	4	999	1	1	2	4	4	5	5	5	6	2	4	4	4	1	1	2	2	1	2	3	1	2	5	3	4	4	4	2	3	6	3	3	4	3	5	6	6	4	4	1	999	2	2	6	6	6	1	3	999	6	4	6	5	4	1	5	999	999	5	4	4	4	4	4	6	5	6	6	2	999	3	3	1	4	3	1	5	2	1	1	3	2	3	5	3	1	999	5	3	1	3	4	1	5	1	4	5	4	3	3	5	2	3	3	1	4	5	5	3	3	3	3	3	2	999	5	5	5	3	4	4	30	60	0	0	0	0	0	5	5	3	4	2	4	5	3	4	3	8	7	8	9	8	8	8	8	8	8	8	7	8	8	8	8	8	8	8	8	8	8	9	8	2	999	999	7	10	0	0	0	0	0
871	1	40	2	2	2	1	1	3	2	6	1	6	64	2	59163	3	4	5	5	4	4	4	1	3	1	6	4	4	5	3	4	3	1	2	1	1	1	2	999	5	3	5	5	4	3	5	4	4	3	1	4	6	999	6	5	6	5	5	5	5	5	1	3	2	5	1	5	2	4	5	5	5	5	5	5	5	5	5	5	5	5	2	3	5	5	3	5	5	3	2	4	2	6	6	4	4	3	5	5	4	4	4	5	3	2	4	4	4	4	5	3	5	5	4	4	5	4	4	4	4	4	2	4	2	2	3	5	3	3	3	2	4	2	4	2	4	2	3	3	3	2	4	4	3	3	3	3	3	2	3	4	2	1	1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	30	30	0	0	0	0	0	4	5	4	4	1	5	4	1	1	1	999	999	999	999	999	999	999	999	999	999	999	7	7	5	7	7	999	999	999	999	8	999	999	999	2	999	999	7	10	0	0	0	0	0
444	1	34	2	2	2	1	1	3	2	3	2	6	62	1	61400	2	2	1	1	1	1	2	1	1	1	2	3	5	3	3	1	1	1	1	1	1	1	1	1	3	5	1	1	5	1	1	1	1	1	2	1	1	1	3	3	2	1	4	1	1	6	1	1	4	4	2	1	3	5	1	1	1	1	1	1	6	2	1	6	4	1	1	1	1	1	3	1	3	1	1	1	1	2	4	4	4	3	1	2	4	2	5	1	3	1	2	3	6	4	4	6	4	5	4	3	2	4	4	2	5	5	5	5	2	5	5	1	5	1	5	5	5	1	5	5	5	2	5	5	5	3	5	3	3	5	2	2	5	2	3	5	3	1	5	5	5	5	4	5	5	4	3	1	1	5	5	5	2	5	5	30	120	0	0	0	0	0	3	5	4	4	3	4	1	1	4	4	2	2	9	6	6	7	9	9	3	1	7	4	4	1	5	9	5	3	5	5	6	5	4	5	2	999	999	7	10	0	0	0	0	0
1497	2	47	2	2	1	6	2	1	4	1	4	3	31	6	91140	1	1	4	4	4	4	5	2	3	2	5	6	3	3	6	5	5	5	5	5	5	2	4	2	4	5	5	4	6	6	5	5	5	5	5	2	5	2	5	5	5	5	6	6	4	3	2	4	2	3	3	4	2	2	3	4	5	4	5	4	3	3	4	4	5	5	6	5	5	6	6	6	6	4	5	5	3	3	5	5	5	4	4	5	4	3	4	4	4	3	6	5	5	5	5	5	4	5	5	4	5	5	2	4	5	5	4	5	3	4	3	3	2	5	5	2	4	4	5	3	4	4	5	2	5	4	2	2	5	5	5	4	4	4	3	3	2	4	3	5	4	3	4	2	4	5	5	4	3	5	4	4	3	3	4	30	30	0	0	0	0	0	1	1	1	1	5	5	5	1	5	1	8	8	8	8	8	8	8	8	8	7	7	8	7	8	7	7	7	8	7	8	8	8	8	8	2	999	999	7	10	0	0	0	0	0
209	2	30	2	0	2	1	5	2	3	4	1	5	54	1	77000	1	1	4	3	3	1	1	2	2	2	4	4	5	2	4	3	4	4	5	5	1	2	2	2	5	4	5	4	3	3	5	5	5	2	1	4	4	2	5	4	5	4	5	4	4	3	2	3	1	1	4	2	2	1	3	3	4	4	4	2	3	3	4	5	3	3	2	4	3	4	4	3	2	3	5	4	6	3	6	4	3	6	5	6	2	5	4	4	2	6	4	4	4	3	4	4	5	5	6	6	6	5	4	4	5	5	4	4	1	4	3	4	2	5	5	3	5	5	5	3	5	4	3	2	5	999	3	5	5	2	4	2	2	5	5	2	4	5	2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	28	30	0	0	0	0	10	3	4	2	2	3	2	5	3	5	3	6	7	7	8	5	9	7	7	6	9	9	6	8	5	9	7	9	8	7	7	9	7	9	7	2	999	999	7	10	0	0	0	0	7
498	2	52	2	0	2	6	2	1	2	4	1	5	56	12	84800	5	9	5	6	6	6	1	1	4	999	6	6	6	6	6	6	6	6	5	6	6	1	6	6	5	6	6	6	6	6	6	6	5	6	2	5	6	6	5	6	6	6	6	6	5	2	1	6	1	1	2	6	1	1	6	5	6	5	6	6	2	1	5	2	2	6	6	6	6	6	6	5	5	2	6	6	6	2	6	4	6	6	6	6	5	4	6	6	6	4	6	6	6	5	6	6	6	4	6	6	6	6	6	6	4	3	4	5	3	5	2	4	2	4	5	1	5	999	5	5	5	5	5	5	5	5	5	3	5	5	5	4	5	4	1	5	2	5	2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	24	24	0	0	0	0	0	2	3	1	3	3	4	1	5	5	1	8	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	9	2	999	999	7	9	0	0	0	0	0
1727	1	57	1	0	2	1	1	3	2	1	2	4	48	12	48250	5	9	6	5	5	5	6	4	5	5	6	6	6	6	5	6	5	6	6	6	6	5	6	5	6	6	6	6	6	6	6	5	5	6	6	5	6	4	6	5	6	5	5	5	5	1	1	4	1	1	1	6	1	1	5	5	6	5	5	5	1	1	6	2	6	5	6	6	5	6	6	6	6	1	4	6	1	6	6	5	5	6	5	6	6	6	4	6	6	5	6	6	6	5	6	6	5	6	6	6	6	5	4	5	5	5	4	5	5	5	4	5	1	3	5	3	5	5	5	2	5	3	5	2	5	5	2	3	4	5	5	5	5	1	5	5	4	5	5	5	5	5	5	5	5	4	5	4	4	3	3	4	4	3	4	22	22	0	0	0	0	0	1	1	1	1	5	5	1	1	5	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	9	8	9	9	8	9	9	2	999	999	7	9	0	0	0	0	0
